,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,w8dom,player_name,position,fantasy_points_half_ppr,ir_games,out_games,avg_separation,avg_yac_above_expectation,catch_percentage,rush_yards_over_expected_per_att,rush_pct_over_expected,completion_percentage_above_expectation,pass_tds/game,pass_air_yards/game,carries/game,yards/carry,rushing_tds/game,receiving_tds/game,turnovers/game,adot,targets_game,team,depth_chart_position,height,weight,years_exp,age,depth_team,win_total_adj_line,gsis_id,college,pick,draft_value,forty,bench,vertical,broad_jump,cone,shuttle,next_season,next_season_future,fantasy_points_future,fantasy_points_ppr_future,fantasy_points_half_ppr_future,games_future,team_future,future_ppr/game,future_half_ppr/game,ppr/game,half_ppr/game,receiving_epa_team_tes,rushing_epa_team_qbs,dakota_team_qbs,passing_epa_team_qbs,receiving_epa_team_wrs,receiving_epa_team_rbs,rushing_epa_team_rbs
4529,00-0032166,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,4,14.0,0,0.0,0.0,0.29638011689530686,0,21,49,435.0,2,0.0,0.0,1018.0,109.0,16.0,5.557257386564743,0,5.637843040442872,1.3634821000223405,2.8386815651561887,4.032300245642843,0.0,56.9,77.9,11,0.11611374407582939,0.2635257571835361,0.384991221860573,0.1383147853736089,0.08,0.10884353741496598,0.10465116279069768,0.1266518282988871,Sammie Coates,WR,67.4,0,0.0,2.5239471768132433,-0.519750570228906,42.857142857142854,,,,0.0,0.0,0.36363636363636365,3.5,0.0,0.18181818181818182,0.0,,4.454545454545454,PIT,WR,73.0,212.0,1.0,23.0,2,10.417742,00-0032166,Auburn,87.0,0.226,4.43,23.0,41.0,131.0,6.98,4.06,2015,2016.0,7.0,13.000000000000002,10.000000000000002,5.0,CLE,2.6000000000000005,2.0000000000000004,7.081818181818182,6.127272727272728,5.557257386564743,,,,5.557257386564743,5.557257386564743,0.29638011689530686
4530,00-0032166,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,6,11,70.0,0,0.0,0.0,146.0,16.0,2.0,-0.9639375371916685,0,5.40952380952381,0.2879262585144938,0.36493605293635856,0.6873446248271917,0.0,7.0,13.000000000000002,5,0.05789473684210526,0.08811104405552203,0.1573309405075755,0.06986027944111776,0.0,0.044444444444444446,0.041666666666666664,0.05588822355289422,Sammie Coates,WR,10.000000000000002,0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.2,CLE,WR,73.0,212.0,2.0,24.0,2,4.727712,00-0032166,Auburn,87.0,0.226,4.43,23.0,41.0,131.0,6.98,4.06,2016,2017.0,1.2000000000000002,2.2,1.7000000000000002,2.0,HOU,1.1,0.8500000000000001,2.6000000000000005,2.0000000000000004,-0.9639375371916685,,,,-0.9639375371916685,-0.9639375371916685,0.0
4531,00-0032166,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,2,12.0,0,0.0,0.0,9.0,5.0,1.0,0.2602258964907378,0,1.7142857142857142,0.054411764705882354,0.025772876045108348,0.09965866029039938,0.0,1.2000000000000002,2.2,2,0.02631578947368421,0.012517385257301807,0.04948759241636776,0.021778584392014518,0.0,0.03225806451612903,0.029411764705882353,0.017422867513611617,Sammie Coates,WR,1.7000000000000002,0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,HOU,WR,73.0,210.0,3.0,25.0,2,8.619727,00-0032166,Auburn,87.0,0.226,4.43,23.0,41.0,131.0,6.98,4.06,2017,,,,,,,,,1.1,0.8500000000000001,0.2602258964907378,,,,0.2602258964907378,0.2602258964907378,0.0
4532,00-0032170,2015,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,19,35,93.0,2,0.0,0.0,219.0,54.0,8.0,-4.951536137850603,0,3.9691109216339817,0.9572553484419843,0.7385829799982314,1.9528911086617387,1.0,27.3,46.300000000000004,9,0.10802469135802469,0.07835420393559929,0.22472040018551648,0.03715541350379545,0.10526315789473684,0.06666666666666667,0.07194244604316546,0.05077696238198373,Rashad Greene,WR,36.800000000000004,0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.2222222222222222,0.0,,3.888888888888889,JAX,,71.0,185.0,0.0,22.0,2,5.5417604,00-0032170,Florida St.,139.0,0.133,4.53,,36.5,122.0,6.88,4.12,2014,2015.0,3.2,8.2,5.699999999999999,4.0,JAX,2.05,1.4249999999999998,5.144444444444445,4.0888888888888895,-4.951536137850603,,,,-4.951536137850603,-4.951536137850603,0.0
4533,00-0032170,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,5,8,32.0,0,0.0,0.0,59.0,17.0,1.0,-6.507435476640239,0,7.943840579710145,0.1893211992879767,0.153991565077192,0.3917758944859995,0.0,3.2,8.2,4,0.048484848484848485,0.0450381679389313,0.10875780707841776,0.029038112522686024,0.0,0.02040816326530612,0.01818181818181818,0.023230490018148822,Rashad Greene,WR,5.699999999999999,5,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,JAX,WR,71.0,182.0,1.0,23.0,1,7.562418,00-0032170,Florida St.,139.0,0.133,4.53,,36.5,122.0,6.88,4.12,2015,,,,,,,,,2.05,1.4249999999999998,-6.507435476640239,0.0,0.0,0.0,-6.507435476640239,-6.507435476640239,0.0
4534,00-0032170,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,6,8,60.0,0,2.0,1.0,60.0,15.0,3.0,0.5849626668496057,0,5.836038961038961,0.23583328682257074,0.28551371873023546,0.5536095333450209,0.0,4.0,10.0,5,0.042328042328042326,0.05012531328320802,0.1035923141186299,0.04950495049504951,0.0,0.05357142857142857,0.04918032786885246,0.03960396039603961,Rashad Greene,WR,7.0,0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.6,JAX,WR,71.0,182.0,3.0,25.0,3,9.082258,00-0032170,Florida St.,139.0,0.133,4.53,,36.5,122.0,6.88,4.12,2017,,,,,,,,,2.0,1.4,,,,,,,
4535,00-0032187,2015,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,125,581.0,8,2.0,0.0,10.857101631053766,0,36,57,457.0,4,1.0,0.0,269.0,347.0,21.0,12.259031201412345,0,25.106844743633953,1.613820458458656,0.7416941416269067,2.939916586826819,1.0,181.8,217.8,16,0.10142348754448399,0.04421433267587114,0.1875066974574229,0.09570680628272252,0.11428571428571428,0.08860759493670886,0.09191176470588236,0.09942258788332087,David Johnson,RB,199.8,0,0.0,,,,,,,0.0,0.0,7.8125,4.648,0.5,0.25,0.125,,3.5625,ARZ,,73.0,224.0,0.0,23.0,3,,00-0032187,Northern Iowa,86.0,0.229,4.5,25.0,41.5,127.0,6.82,4.27,2014,2015.0,327.8,407.8,367.8,16.0,ARI,25.4875,22.9875,13.6125,12.4875,,,,,,,
4536,00-0032187,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,293,1239.0,16,5.0,3.0,-18.826080197714333,0,80,120,879.0,4,0.0,0.0,529.0,661.0,42.0,22.31313439489845,1,-57.40624042847971,3.071188785674324,1.45506242377227,5.625326875152075,0.0,327.8,407.8,16,0.18575851393188855,0.0852675693101225,0.3468518263459308,0.19864406779661017,0.14285714285714285,0.18340611353711792,0.17898832684824903,0.18748668280871672,David Johnson,RB,367.8,0,0.0,,,,,,,0.0,0.0,18.3125,4.228668941979522,1.0,0.25,0.3125,,7.5,ARI,RB,73.0,224.0,1.0,24.0,1,10.217734,00-0032187,Northern Iowa,86.0,0.229,4.5,25.0,41.5,127.0,6.82,4.27,2015,2016.0,7.0,13.0,10.0,1.0,ARI,13.0,10.0,25.4875,22.9875,22.31313439489845,-18.826080197714333,0.0,0.0,22.31313439489845,22.31313439489845,-18.826080197714333
4537,00-0032187,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,11,23.0,0,1.0,1.0,-11.019021630927455,0,6,9,67.0,0,1.0,0.0,34.0,46.0,3.0,0.2861182698979974,0,1.9705882352941178,0.19148936170212766,0.08076009501187649,0.34376610906150507,0.0,7.0,13.0,1,0.1875,0.07538802660753881,0.34156042128603104,0.25,0.0,0.2,0.1875,0.2,David Johnson,RB,10.0,15,0.0,,,,,,,0.0,0.0,11.0,2.090909090909091,0.0,0.0,1.0,,9.0,ARI,RB,73.0,224.0,2.0,25.0,1,8.687159,00-0032187,Northern Iowa,86.0,0.229,4.5,25.0,41.5,127.0,6.82,4.27,2016,2017.0,196.60000000000002,246.60000000000002,221.60000000000002,16.0,ARI,15.412500000000001,13.850000000000001,13.0,10.0,0.2861182698979974,-11.019021630927455,0.0,0.0,0.2861182698979974,0.2861182698979974,-11.019021630927455
4538,00-0032187,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,258,940.0,7,2.0,2.0,-54.08686675317614,1,50,76,446.0,3,1.0,0.0,63.0,385.0,22.0,-13.319193631098052,0,2.9854312354312342,2.5068994651351075,0.23009836486438318,3.92141805310773,0.0,196.60000000000002,246.60000000000002,16,0.15353535353535352,0.015833123900477506,0.2429695294234123,0.15464632454923716,0.2,0.16058394160583941,0.16447368421052633,0.16371705963938973,David Johnson,RB,221.60000000000002,0,0.0,,,,-0.16016359788178397,0.38,,0.0,0.0,16.125,3.643410852713178,0.4375,0.1875,0.125,,4.75,ARI,RB,73.0,224.0,3.0,26.0,1,6.082258,00-0032187,Northern Iowa,86.0,0.229,4.5,25.0,41.5,127.0,6.82,4.27,2017,2018.0,105.60000000000001,141.6,123.6,12.0,ARI,11.799999999999999,10.299999999999999,15.412500000000001,13.850000000000001,-13.319193631098052,-54.08686675317614,0.0,0.0,-13.319193631098052,-13.319193631098052,-54.08686675317614
4539,00-0032187,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,93,346.0,2,0.0,0.0,-12.948676199483838,0,36,47,370.0,4,1.0,1.0,181.0,226.0,17.0,0.8159687802590003,0,-39.29980842911877,1.3247840267720237,0.6088814126198713,2.4133930289919454,0.0,105.60000000000001,141.6,12,0.11270983213429256,0.055402509947964494,0.21338675615981045,0.12798339674852993,0.2857142857142857,0.12408759124087591,0.1390728476821192,0.1595295745416811,David Johnson,RB,123.6,0,2.0,,,,-0.6777433523551369,0.2765957446808511,,0.0,0.0,7.75,3.7204301075268815,0.16666666666666666,0.3333333333333333,0.0,,3.9166666666666665,ARI,RB,73.0,224.0,4.0,27.0,1,5.0417604,00-0032187,Northern Iowa,86.0,0.229,4.5,25.0,41.5,127.0,6.82,4.27,2018,,,,,,,,,11.799999999999999,10.299999999999999,0.8159687802590003,-12.948676199483838,0.0,0.0,0.8159687802590003,0.8159687802590003,-12.948676199483838
